name,atom,M0,P11
HISA,CE,0.0428181373013,8.62652566 0.0 0.0 8.62652566 0.0 8.62652566
HID,CE1,0.0428181373013,8.62652566 0.0 0.0 8.62652566 0.0 8.62652566
HSD,CE1,0.0428181373013,8.62652566 0.0 0.0 8.62652566 0.0 8.62652566
HISD,CE1,0.0428181373013,8.62652566 0.0 0.0 8.62652566 0.0 8.62652566
HISA,CE1,0.0428181373013,8.62652566 0.0 0.0 8.62652566 0.0 8.62652566
HID,CE2,0.0428181373013,8.62652566 0.0 0.0 8.62652566 0.0 8.62652566
HSD,CE2,0.0428181373013,8.62652566 0.0 0.0 8.62652566 0.0 8.62652566
HISD,CE2,0.0428181373013,8.62652566 0.0 0.0 8.62652566 0.0 8.62652566
HISA,CE2,0.0428181373013,8.62652566 0.0 0.0 8.62652566 0.0 8.62652566
HID,NE,-0.464215398403,8.55238367 0.0 0.0 8.55238367 0.0 8.55238367
HSD,NE,-0.464215398403,8.55238367 0.0 0.0 8.55238367 0.0 8.55238367
HISD,NE,-0.464215398403,8.55238367 0.0 0.0 8.55238367 0.0 8.55238367
HISA,NE,-0.464215398403,8.55238367 0.0 0.0 8.55238367 0.0 8.55238367
HID,NE2,-0.464215398403,8.55238367 0.0 0.0 8.55238367 0.0 8.55238367
HSD,NE2,-0.464215398403,8.55238367 0.0 0.0 8.55238367 0.0 8.55238367
HISD,NE2,-0.464215398403,8.55238367 0.0 0.0 8.55238367 0.0 8.55238367
HISA,NE2,-0.464215398403,8.55238367 0.0 0.0 8.55238367 0.0 8.55238367
